epoch_tt2000,qpeak_count,max_width_us,channels,epoch_utc,source_file,record_index,event_time,date
834111113907869696,1,0.0418142712550605,tof_high,2026-06-07T13:30:44.723869696,imap_idex_l1b_sci-10days_20260530_v001.0023.cdf,49,2026-06-07 13:30:44.723869696,2026-06-07
834188410170498176,1,0.0421261430876814,tof_high,2026-06-08T10:59:00.986498176,imap_idex_l1b_sci-10days_20260530_v001.0023.cdf,56,2026-06-08 10:59:00.986498176,2026-06-08
834259505465236096,1,0.0453761312217192,tof_high,2026-06-09T06:43:56.281236096,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,1,2026-06-09 06:43:56.281236096,2026-06-09
834469383799164672,1,0.041085737179487,tof_high,2026-06-11T17:01:54.615164672,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,9,2026-06-11 17:01:54.615164672,2026-06-11
834614706462952320,1,0.0480591168091166,tof_high,2026-06-13T09:23:57.278952320,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,11,2026-06-13 09:23:57.278952320,2026-06-13
834723528218079488,1,0.0408333333333331,tof_high,2026-06-14T15:37:39.034079488,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,14,2026-06-14 15:37:39.034079488,2026-06-14
834960228151411584,1,0.0435363247863246,tof_high,2026-06-17T09:22:38.967411584,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,30,2026-06-17 09:22:38.967411584,2026-06-17
835012291711474176,1,0.0401785714285713,tof_high,2026-06-17T23:50:22.527474176,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,32,2026-06-17 23:50:22.527474176,2026-06-17
835065524629438976,1,0.040310987539903,tof_high,2026-06-18T14:37:35.445438976,imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,34,2026-06-18 14:37:35.445438976,2026-06-18
835111294604784256,1,0.0513187520988277,tof_high,2026-06-19T03:20:25.420784256,imap_idex_l1b_sci-10days_20260619_v001.0016.cdf,1,2026-06-19 03:20:25.420784256,2026-06-19
835756322517404416,1,0.0400098981900451,tof_high,2026-06-26T14:30:53.333404416,imap_idex_l1b_sci-10days_20260619_v001.0016.cdf,16,2026-06-26 14:30:53.333404416,2026-06-26
835854145795405056,1,0.0400488400488399,tof_high,2026-06-27T17:41:16.611405056,imap_idex_l1b_sci-10days_20260619_v001.0016.cdf,17,2026-06-27 17:41:16.611405056,2026-06-27
835878059905378688,1,0.0515225169168544,tof_high,2026-06-28T00:19:50.721378688,imap_idex_l1b_sci-10days_20260619_v001.0016.cdf,18,2026-06-28 00:19:50.721378688,2026-06-28
836034957375440896,1,0.0638461538461537,tof_high,2026-06-29T19:54:48.191440896,imap_idex_l1b_sci-10days_20260629_v001.0015.cdf,0,2026-06-29 19:54:48.191440896,2026-06-29
