date,l1b_event_count,single_ge20ns_count,single_ge40ns_count,single_ge20ns_fraction,single_ge40ns_fraction,omni_hour_count,proton_density_cm3,flow_speed_km_s,flow_pressure_npa,scalar_b_nt,bz_gsm_nt_mean,bz_gsm_nt_min,proton_flux_cm2_s
2026-01-24,49.0,0.0,0.0,0.0,0.0,24,2.5875,529.4583333333334,1.46,6.166666666666667,0.07083333333333335,-4.4,137050000.0
2026-01-25,2.0,0.0,0.0,0.0,0.0,24,3.404166666666667,536.2916666666666,2.07125,5.341666666666666,-0.47500000000000003,-2.6,183031250.0
2026-01-26,1.0,0.0,0.0,0.0,0.0,24,3.0833333333333335,489.3333333333333,1.5233333333333334,6.254166666666666,-0.5208333333333334,-4.0,151293333.33333334
2026-01-27,2.0,1.0,0.0,0.5,0.0,24,5.868181818181818,420.8181818181818,2.0940909090909092,6.254166666666666,-0.7125,-2.7,246889545.45454547
2026-01-28,0.0,0.0,0.0,0.0,0.0,24,2.894117647058824,571.1176470588235,1.8611764705882354,9.591666666666667,-1.9541666666666666,-6.6,162240000.0
2026-01-29,1.0,0.0,0.0,0.0,0.0,24,1.4454545454545455,670.9545454545455,1.24,6.172727272727273,0.17272727272727273,-3.6,96618636.36363636
2026-01-30,10.0,3.0,3.0,0.3,0.3,24,1.657142857142857,497.14285714285717,0.8099999999999999,3.9857142857142853,-0.5,-1.7,82388571.42857143
2026-01-31,0.0,0.0,0.0,0.0,0.0,24,2.0708333333333333,434.2083333333333,0.7875,4.054166666666666,-0.725,-1.4,89303333.33333333
2026-02-01,0.0,0.0,0.0,0.0,0.0,24,3.5875,340.0833333333333,0.8245833333333333,5.033333333333333,-1.3499999999999999,-5.0,121275416.66666667
2026-02-02,1.0,1.0,0.0,1.0,0.0,24,8.483333333333333,313.5416666666667,1.5920833333333333,5.941666666666666,-1.5916666666666668,-4.1,265388750.0
2026-02-03,1.0,1.0,0.0,1.0,0.0,24,10.475,299.6666666666667,1.8220833333333333,6.241666666666667,-0.9583333333333334,-4.0,314315000.0
2026-02-04,0.0,0.0,0.0,0.0,0.0,24,10.779166666666667,355.1666666666667,3.03375,12.450000000000001,1.0166666666666666,-9.1,408128750.0
2026-02-05,1.0,1.0,1.0,1.0,1.0,24,5.470833333333334,540.7916666666666,2.8125,11.533333333333333,1.375,-15.3,276267083.3333333
2026-02-06,4.0,1.0,0.0,0.25,0.0,24,1.7958333333333334,557.25,1.0570833333333334,6.745833333333334,-0.012500000000000011,-4.2,100306666.66666667
2026-02-07,13.0,3.0,2.0,0.23076923076923078,0.15384615384615385,24,2.6833333333333336,477.125,1.1583333333333334,6.7250000000000005,-1.4333333333333333,-4.8,127273750.0
2026-02-08,1.0,0.0,0.0,0.0,0.0,24,3.170833333333333,438.4166666666667,1.1654166666666665,7.6625000000000005,-0.30833333333333335,-4.3,139182500.0
2026-02-09,1.0,1.0,0.0,1.0,0.0,24,2.8666666666666667,404.625,0.8675,9.041666666666666,0.7749999999999999,-2.6,116122500.0
2026-02-10,0.0,0.0,0.0,0.0,0.0,24,5.375,434.0416666666667,2.015,7.529166666666666,0.49166666666666664,-5.7,233587083.33333334
2026-02-11,2.0,2.0,1.0,1.0,0.5,24,4.6625000000000005,457.75,1.9091666666666667,6.579166666666667,-2.1458333333333335,-4.5,213646250.0
2026-02-12,1.0,1.0,0.0,1.0,0.0,24,5.0249999999999995,395.125,1.5716666666666665,5.891666666666667,-1.1166666666666665,-5.8,199052916.66666666
2026-02-13,1.0,0.0,0.0,0.0,0.0,24,4.554166666666666,398.9583333333333,1.3675,7.645833333333333,-1.9000000000000001,-6.2,182986666.66666666
2026-02-14,0.0,0.0,0.0,0.0,0.0,24,4.616666666666666,437.1666666666667,1.7229166666666667,8.541666666666666,0.25833333333333336,-11.0,201435000.0
2026-02-15,10.0,0.0,0.0,0.0,0.0,24,3.3000000000000003,613.7916666666666,2.325416666666667,8.629166666666666,0.9375,-6.8,199903333.33333334
2026-02-16,2.0,0.0,0.0,0.0,0.0,24,3.5500000000000003,624.5833333333334,2.7137499999999997,6.6000000000000005,-0.13750000000000004,-4.8,222904166.66666666
2026-02-17,1.0,0.0,0.0,0.0,0.0,24,2.5791666666666666,591.5,1.7991666666666666,4.741666666666666,0.6958333333333333,-3.3,152635416.66666666
2026-02-18,1.0,1.0,1.0,1.0,1.0,24,3.682608695652174,507.30434782608694,1.8686956521739129,4.554166666666666,0.05416666666666666,-3.1,185465217.39130434
2026-02-19,1.0,0.0,0.0,0.0,0.0,24,4.308333333333334,487.5,2.00625,5.458333333333333,-0.08750000000000001,-3.9,208622500.0
2026-02-20,1.0,0.0,0.0,0.0,0.0,24,5.641666666666667,475.5833333333333,2.56375,6.454166666666667,-0.35000000000000003,-2.3,267132500.0
2026-02-21,1.0,0.0,0.0,0.0,0.0,24,8.225,505.2083333333333,4.235833333333333,11.741666666666667,5.416666666666667,-6.3,417068750.0
2026-02-22,0.0,0.0,0.0,0.0,0.0,24,6.241666666666667,604.2083333333334,4.456666666666666,9.862499999999999,-1.1166666666666667,-6.4,368438333.3333333
2026-02-23,11.0,1.0,1.0,0.09090909090909091,0.09090909090909091,24,2.316666666666667,669.0,2.0212499999999998,5.733333333333333,-0.9500000000000001,-4.8,154930833.33333334
2026-02-24,2.0,0.0,0.0,0.0,0.0,24,2.5208333333333335,591.8333333333334,1.76875,4.795833333333333,-1.4083333333333332,-3.9,149107500.0
2026-02-25,1.0,1.0,0.0,1.0,0.0,24,2.725,545.5,1.6166666666666665,5.120833333333333,-0.6541666666666667,-4.0,148884583.33333334
2026-02-26,2.0,1.0,0.0,0.5,0.0,24,2.6125000000000003,531.875,1.4262499999999998,5.333333333333333,-1.9124999999999999,-4.2,139013750.0
2026-02-27,1.0,0.0,0.0,0.0,0.0,24,2.9,453.6666666666667,1.14125,4.4624999999999995,-1.4458333333333335,-3.4,131575833.33333333
2026-02-28,0.0,0.0,0.0,0.0,0.0,24,3.0375,415.25,1.0233333333333332,4.104166666666667,-1.3625,-3.5,126386250.0
2026-03-01,2.0,0.0,0.0,0.0,0.0,24,4.179166666666666,378.6666666666667,1.1320833333333333,4.095833333333333,-1.2,-4.3,156888333.33333334
2026-03-02,1.0,0.0,0.0,0.0,0.0,24,11.983333333333334,334.7083333333333,2.5341666666666667,4.295833333333333,0.5458333333333333,-2.6,399333333.3333333
2026-03-03,11.0,0.0,0.0,0.0,0.0,24,9.7125,380.0833333333333,2.6704166666666667,9.0625,0.17916666666666667,-8.9,364903333.3333333
2026-03-04,2.0,1.0,1.0,0.5,0.5,24,5.5249999999999995,416.375,1.8687500000000001,5.841666666666666,1.225,-4.0,230377083.33333334
2026-03-05,2.0,0.0,0.0,0.0,0.0,24,4.195833333333334,385.625,1.1945833333333333,4.55,1.0,-1.6,162345833.33333334
2026-03-06,0.0,0.0,0.0,0.0,0.0,24,11.429166666666667,350.1666666666667,2.6799999999999997,5.745833333333334,-1.6333333333333335,-6.8,404475416.6666667
2026-03-07,1.0,1.0,0.0,1.0,0.0,24,5.633333333333333,490.2916666666667,2.6125000000000003,9.525,-0.9041666666666668,-7.9,270118333.3333333
2026-03-08,0.0,0.0,0.0,0.0,0.0,24,4.808333333333334,534.625,2.7408333333333332,7.229166666666667,-1.0125,-4.1,255313333.33333334
2026-03-09,1.0,0.0,1.0,0.0,1.0,24,3.620833333333333,469.5833333333333,1.60875,4.795833333333333,-0.3625,-2.8,170714166.66666666
