source_file,record_index,epoch_tt2000,epoch_utc,quicklook_classification,selection_source,l2a_source_file,l2a_record_index,l2a_target_low_impact_charge,l2a_target_high_impact_charge,l2a_ion_grid_impact_charge,l2a_target_low_chi_squared,l2a_target_high_chi_squared,l2a_ion_grid_chi_squared,l2a_target_low_reduced_chi_squared,l2a_target_high_reduced_chi_squared,l2a_ion_grid_reduced_chi_squared,l2a_tof_snr,seconds_since_previous_pulser,test_id,injection_index,test_start_utc,l2a_inferred_injection_level,pulser_like_l2a_charge,injection_level,injection_level_source,injection_repeat_index,test_event_count
imap_idex_l1b_sci-10days_20251027_v003.cdf,12,815539652670807040,2025-11-04T14:46:23.486807040,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,12,233.28733247281707,244.034640196194,0.8642280338736489,42994.40634756275,246.6711347250068,0.004804763055062982,84.80159042911785,0.4865308377219069,9.476850207224817e-06,,5.999894528,2,12,2025-11-04 14:42:17.491349,3.0,True,3,l2a_ion_grid_charge,2,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,13,815539658670701568,2025-11-04T14:46:29.486701568,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,13,233.17096699113608,243.97418683969477,0.8642193346750868,46691.18461751049,251.66645959287297,0.004899614465693045,92.0930663067268,0.4963835494928461,9.663933857382732e-06,,5.999894528,2,13,2025-11-04 14:42:17.491349,3.0,True,3,l2a_ion_grid_charge,3,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,14,815539664670596224,2025-11-04T14:46:35.486596224,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,14,232.25990436223947,244.03003710606959,0.8642089120337669,37031.004373617485,245.6020802612284,0.0048156122681007,73.0394563582199,0.48442224903595343,9.498249049508284e-06,,5.999894656,2,14,2025-11-04 14:42:17.491349,3.0,True,3,l2a_ion_grid_charge,4,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,15,815539670670490880,2025-11-04T14:46:41.486490880,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,15,228.6334799186152,243.9556122609019,0.8642543671133864,43029.024199182524,252.45330062030393,0.004770248905744444,84.86987021535015,0.49793550418205906,9.4087749620206e-06,,5.999894656,2,15,2025-11-04 14:42:17.491349,3.0,True,3,l2a_ion_grid_charge,5,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,16,815539760668849408,2025-11-04T14:48:11.484849408,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,16,312.6864277552122,323.6858294445779,1.150155057003464,41259.093908238574,424.43982687709484,0.006836944381869901,81.37888344820232,0.8371594218483133,1.3485097400137872e-05,,89.998358528,2,16,2025-11-04 14:42:17.491349,4.0,True,4,l2a_ion_grid_charge,1,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,17,815539766668744064,2025-11-04T14:48:17.484744064,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,17,311.5485613222081,324.08442016287756,1.150963846921261,38061.12833382231,463.9749963502596,0.007406614041791887,75.07125904106964,0.9151380598624449,1.4608706196828181e-05,,5.999894656,2,17,2025-11-04 14:42:17.491349,4.0,True,4,l2a_ion_grid_charge,2,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,18,815539772668638592,2025-11-04T14:48:23.484638592,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,18,311.0013499267552,324.1485369266743,1.150855147954224,37531.30576074145,460.1468930187867,0.007675522797648153,74.02624410402653,0.9075875601948457,1.513909822021332e-05,,5.999894528,2,18,2025-11-04 14:42:17.491349,4.0,True,4,l2a_ion_grid_charge,3,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,19,815539778668533120,2025-11-04T14:48:29.484533120,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,19,308.7608420468714,324.06177456929277,1.1509386624462885,39526.82997692673,464.069161417791,0.0074871406182831085,77.96218930360303,0.9153237897786805,1.4767535736258596e-05,,5.999894528,2,19,2025-11-04 14:42:17.491349,4.0,True,4,l2a_ion_grid_charge,4,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,20,815539784668427776,2025-11-04T14:48:35.484427776,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,20,310.9303359950791,324.0701444068989,1.150555521625047,38282.548143437445,471.8957421744334,0.007463346192813534,75.50798450382139,0.9307608326911901,1.4720603930598688e-05,,5.999894656,2,20,2025-11-04 14:42:17.491349,4.0,True,4,l2a_ion_grid_charge,5,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,21,815539880666721024,2025-11-04T14:50:11.482721024,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,21,735.0802602138756,367.96776970937907,1.4357836401017479,41003.1546123521,182231.24930810783,0.009219460113035151,80.87407221371222,359.43047200810224,1.818433947344211e-05,,95.998293248,2,21,2025-11-04 14:42:17.491349,5.0,True,5,l2a_ion_grid_charge,1,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,22,815539886666615552,2025-11-04T14:50:17.482615552,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,22,738.1625547758013,368.7305482173053,1.4371660605890022,42654.47064305193,188830.78115791042,0.010220773322956666,84.13110580483615,372.4473001142217,2.015931621884944e-05,,5.999894528,2,22,2025-11-04 14:42:17.491349,5.0,True,5,l2a_ion_grid_charge,2,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,23,815539892666510080,2025-11-04T14:50:23.482510080,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,23,741.3675481802347,368.8257326500634,1.4368792736441356,44914.68521922748,189486.9008321001,0.01041177116609651,88.58912272036979,373.74142175956626,2.0536037802951695e-05,,5.999894528,2,23,2025-11-04 14:42:17.491349,5.0,True,5,l2a_ion_grid_charge,3,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,24,815539898666404608,2025-11-04T14:50:29.482404608,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,24,736.9237085479581,368.88862216474877,1.4368933690525807,41653.73825190941,189775.8136002912,0.01024307593136388,82.15727465859844,374.31126942858225,2.020330558454414e-05,,5.999894528,2,24,2025-11-04 14:42:17.491349,5.0,True,5,l2a_ion_grid_charge,4,25
imap_idex_l1b_sci-10days_20251027_v003.cdf,25,815539904666299392,2025-11-04T14:50:35.482299392,Science,event_list,imap_idex_l2a_sci-10days_20251027_v003.cdf,25,734.680309657193,368.908477009045,1.4370102488992913,41123.88427427545,189926.8807728803,0.010310599709077807,81.11219777963599,374.60923229364954,2.0336488578062735e-05,,5.999894784,2,25,2025-11-04 14:42:17.491349,5.0,True,5,l2a_ion_grid_charge,5,25
imap_idex_l1b_sci-10days_20251106_v003.cdf,1,815732851484596480,2025-11-06T20:26:22.300596480,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,1,77.4971619392345,80.99131531730859,0.283743203201301,41855.83229941175,56.851845530052344,0.001079529166755504,82.55588224736044,0.11213381761351547,2.1292488496163786e-06,,192946.818297088,3,1,2025-11-06 20:26:22.300596,1.0,True,1,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20251106_v003.cdf,2,815732857484551040,2025-11-06T20:26:28.300551040,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,2,73.42038398486329,81.01593238050475,0.2837322230340662,41393.471680895906,67.57352178419309,0.0010970301863053073,81.6439283646862,0.13328110805560767,2.1637676258487322e-06,,5.99995456,3,2,2025-11-06 20:26:22.300596,1.0,True,1,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20251106_v003.cdf,3,815732863484485760,2025-11-06T20:26:34.300485760,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,3,75.66582474853931,80.97268595566413,0.28371523857421455,45971.22085699803,64.84042362449094,0.0009663820182369618,90.67301944181071,0.127890381902349,1.9060789314338496e-06,,5.99993472,3,3,2025-11-06 20:26:22.300596,1.0,True,1,l2a_ion_grid_charge,3,20
imap_idex_l1b_sci-10days_20251106_v003.cdf,4,815732869484420224,2025-11-06T20:26:40.300420224,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,4,75.17489425911481,81.0820464015074,0.2838225832962853,39206.146184986326,68.8527319583895,0.001040329348812547,77.32967689346415,0.13580420504613314,2.0519316544626173e-06,,5.999934464,3,4,2025-11-06 20:26:22.300596,1.0,True,1,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20251106_v003.cdf,5,815732982483278208,2025-11-06T20:28:33.299278208,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,5,154.79718506277277,161.98789516566916,0.5742910099928886,38614.689310198024,144.07744671652625,0.002990198752297879,76.16309528638664,0.2841764235039966,5.897827913802523e-06,,112.998857984,3,5,2025-11-06 20:26:22.300596,2.0,True,2,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20251106_v003.cdf,6,815732988483212672,2025-11-06T20:28:39.299212672,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,6,157.80470469991997,162.11354074889584,0.5745630933526403,43517.36023277302,157.40379341994964,0.0030281694671092734,85.83305765832942,0.31046113100581785,5.972720842424602e-06,,5.999934464,3,6,2025-11-06 20:26:22.300596,2.0,True,2,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20251106_v003.cdf,7,815732994483147264,2025-11-06T20:28:45.299147264,Science,event_list,imap_idex_l2a_sci-10days_20251106_v003.cdf,7,153.9194265133192,162.0744984773517,0.5747965071833951,40944.691874405806,167.60181331791188,0.003090982329367349,80.75876109350257,0.3305755686743824,6.09661208948195e-06,,5.999934592,3,7,2025-11-06 20:26:22.300596,2.0,True,2,l2a_ion_grid_charge,3,20
