source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20251206_v003.cdf,126,818510585907882368,2025-12-09T00:01:56.723882368,Ion Grid,Ion_Grid,mean,1.50958782421875,0.0006372573867186464,1.50958782421875,0.00046976775383001247,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,132,818510637907555712,2025-12-09T00:02:48.723555712,TOF H,TOF_High,mean,0.1476781177188912,0.0008582508699719152,0.1476781177188912,0.000788666964390139,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,132,818510637907555712,2025-12-09T00:02:48.723555712,TOF M,TOF_Mid,mean,5.7917336549029175,0.009093756759065989,5.7917336549029175,0.01147747455305838,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,132,818510637907555712,2025-12-09T00:02:48.723555712,TOF L,TOF_Low,mean,263.7780337037489,1.3817332308218244,263.7780337037489,0.9004200259141572,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,132,818510637907555712,2025-12-09T00:02:48.723555712,Target H,Target_High,mean,333.1981054687501,0.2029598320311556,333.1981054687501,0.12158327509404498,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,132,818510637907555712,2025-12-09T00:02:48.723555712,Target L,Target_Low,mean,32607.064843750006,6.130782656242449,32607.064843750006,9.075594762222382,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,132,818510637907555712,2025-12-09T00:02:48.723555712,Ion Grid,Ion_Grid,mean,1.5096125937499996,0.00043203890625084486,1.5096125937499996,0.00047762186660681497,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,133,818510649907464960,2025-12-09T00:03:00.723464960,TOF H,TOF_High,mean,0.14771979667847113,0.0009174279555013197,0.14771979667847113,0.0007853486359378427,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,133,818510649907464960,2025-12-09T00:03:00.723464960,TOF M,TOF_Mid,mean,5.790661472707289,0.009249240564172694,5.790661472707289,0.011490230388790776,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,133,818510649907464960,2025-12-09T00:03:00.723464960,TOF L,TOF_Low,mean,263.77376553913786,1.3880612116741853,263.77376553913786,0.8934932774694087,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,133,818510649907464960,2025-12-09T00:03:00.723464960,Target H,Target_High,mean,333.1185156250001,0.07929593437488942,333.1185156250001,0.12660300181418035,512
